,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h
0,344,267,130,198,447,207,233,185,239,191
1,355,302,194,222,372,172,254,234,199,159
2,311,234,165,165,373,172,273,154,200,159
3,293,194,136,136,373,172,273,114,200,159
4,313,297,165,194,373,172,273,194,200,159
5,329,260,164,198,447,207,281,185,239,191
6,345,259,194,194,372,172,254,194,199,159
7,380,245,165,194,373,172,214,194,199,159
8,431,250,130,198,447,207,174,234,199,159
9,322,271,165,194,373,172,273,194,200,159
10,368,230,136,165,373,172,194,154,199,159
11,298,251,165,165,373,172,257,137,239,191
12,251,227,165,136,373,172,273,134,200,159
13,329,246,165,194,373,172,257,185,239,191
14,374,243,130,198,447,207,209,209,239,191
15,209,333,194,194,372,172,373,194,199,159
16,331,197,136,136,373,172,234,134,199,159
17,292,321,194,194,372,172,293,214,199,159
18,352,231,95,130,447,206,214,134,199,159
19,275,292,165,194,373,172,281,161,239,191
20,284,298,194,194,372,172,313,194,199,159
21,403,305,194,251,372,172,234,254,199,159
22,303,247,130,164,447,206,293,174,199,159
23,407,246,130,198,447,207,161,233,239,191
24,393,299,165,194,373,172,214,194,199,159
25,383,348,194,251,372,172,254,273,199,160
26,362,232,136,165,373,172,214,154,199,159
27,365,368,222,222,373,172,214,154,199,159
28,361,308,165,222,373,172,234,214,199,159
29,315,274,130,198,447,207,257,185,239,191
30,369,262,165,194,373,172,234,214,199,159
31,380,240,95,164,447,206,194,174,199,159
32,330,242,130,198,447,207,257,185,239,191
33,345,248,130,198,447,207,257,185,239,191
34,348,233,136,165,373,172,214,154,199,159
35,348,257,130,198,447,207,257,209,239,191
36,328,307,194,222,372,172,273,234,200,159
37,399,245,165,194,373,172,214,194,199,159
38,331,304,164,198,447,207,257,209,239,191
39,324,269,165,194,373,172,273,194,200,159
40,341,170,136,108,373,172,217,120,138,111
41,436,269,130,198,447,207,174,234,199,159
42,307,218,165,136,373,172,254,134,199,159
43,372,220,165,165,373,172,214,174,199,159
44,455,244,130,164,447,206,174,214,199,159
45,349,253,136,165,373,172,209,161,239,191
46,300,391,136,165,373,172,209,161,239,191
47,315,231,95,130,447,206,233,137,239,191
48,379,206,130,164,447,206,185,185,239,191
49,467,242,130,164,447,206,174,214,199,159
50,346,270,165,194,373,172,214,194,199,159
51,353,278,165,194,373,172,209,161,239,191
52,340,272,165,165,373,172,273,174,200,159
53,274,168,130,130,447,206,294,112,166,132
54,347,272,130,198,447,207,233,185,239,191
55,349,247,165,194,373,172,234,194,199,159
56,250,259,130,130,447,206,333,154,199,159
57,194,248,130,130,447,206,333,154,199,159
58,334,233,136,165,373,172,234,154,199,159
59,247,204,165,136,373,172,313,114,199,159
60,338,258,165,194,373,172,254,194,199,159
61,346,336,194,222,372,172,254,234,199,159
62,398,263,130,198,447,207,194,234,199,159
63,342,222,165,165,373,172,273,154,200,159
64,360,268,165,194,373,172,209,161,239,191
65,432,214,165,165,373,172,194,174,199,159
66,250,337,194,222,372,172,333,214,199,159
67,304,220,165,165,373,172,281,137,239,191
68,261,254,130,164,447,206,333,174,199,159
69,453,310,130,164,447,206,333,174,199,159
70,273,302,165,194,373,172,293,194,199,159
71,399,254,95,164,447,206,174,174,199,159
72,356,314,165,251,373,172,233,233,239,191
73,405,175,136,136,373,172,161,145,166,132
74,368,243,165,194,373,172,214,194,199,159
75,205,330,194,194,372,172,373,194,199,159
76,399,222,130,164,447,206,194,194,199,159
77,329,236,165,165,373,172,254,174,199,159
78,329,262,164,198,447,207,257,185,239,191
79,208,310,165,194,373,172,373,194,199,159
80,238,272,130,164,447,206,373,174,199,159
81,295,273,164,198,447,207,305,185,238,191
82,308,264,130,164,447,206,281,161,239,191
83,426,269,165,222,373,172,174,234,199,159
84,339,243,130,164,447,206,233,161,239,191
85,403,327,194,251,372,172,228,294,166,133
86,311,238,130,164,447,206,257,161,239,191
87,345,225,136,136,373,172,234,154,199,159
88,397,258,95,164,447,206,174,194,199,159
89,242,292,165,165,373,172,333,174,199,159
90,399,250,95,164,447,206,174,174,199,159
91,357,257,165,194,373,172,234,194,199,159
92,334,245,165,194,373,172,254,174,199,159
93,227,202,165,136,373,172,333,114,199,159
94,320,221,130,164,447,206,233,161,239,191
95,418,241,130,198,447,207,161,233,239,191
96,259,327,194,222,372,172,161,233,239,191
97,381,244,130,198,447,207,185,209,239,191
98,338,259,130,198,447,207,257,185,239,191
99,380,259,130,198,447,207,209,209,239,191
100,367,195,136,136,373,172,194,134,199,159
101,339,204,130,164,447,206,233,161,239,191
102,241,287,130,164,447,206,373,174,199,159
103,244,261,130,130,447,206,333,154,199,159
