,Unnamed: 0,world_x,world_y,eye_x,eye_y,eye_w,eye_h,pipil_x,pupil_y,pupil_w,pupil_h,world_x_p,world_y_p
0,0,344,267,130,198,447,207,233,185,239,191,347.50083609712146,261.9998894381771
1,1,355,302,194,222,372,172,254,234,199,159,349.8329040519271,311.66523688869904
2,2,311,234,165,165,373,172,273,154,200,159,318.00038600352934,240.37537997829412
3,3,293,194,136,136,373,172,273,114,200,159,293.00104708723495,194.00180613668164
4,4,313,297,165,194,373,172,273,194,200,159,313.5459588679425,283.4538958142888
5,5,329,260,164,198,447,207,281,185,239,191,329.0000938281416,260.0003661282674
6,6,345,259,194,194,372,172,254,194,199,159,344.99976639012954,259.00018158288464
7,7,380,245,165,194,373,172,214,194,199,159,377.8298481954047,258.1669128749308
8,8,431,250,130,198,447,207,174,234,199,159,429.33042231161613,258.6665148531764
9,9,322,271,165,194,373,172,273,194,200,159,313.5459588679425,283.4538958142888
10,10,368,230,136,165,373,172,194,154,199,159,367.4990184347744,231.00587070571925
11,11,298,251,165,165,373,172,257,137,239,191,295.50098363500433,248.4992261762043
12,12,251,227,165,136,373,172,273,134,200,159,276.60148564544335,215.40112719936528
13,13,329,246,165,194,373,172,257,185,239,191,313.3338432900574,282.66578149243117
14,14,374,243,130,198,447,207,209,209,239,191,379.6650031929254,257.3333467247053
15,15,209,333,194,194,372,172,373,194,199,159,217.3363931843507,324.9982160700472
16,16,331,197,136,136,373,172,234,134,199,159,331.00766116132075,197.00161592910484
17,17,292,321,194,194,372,172,293,214,199,159,299.0011046476652,332.9980035788562
18,18,352,231,95,130,447,206,214,134,199,159,350.5999096029369,222.20094658185286
19,19,275,292,165,194,373,172,281,161,239,191,275.0016152638299,291.9988324535286
20,20,284,298,194,194,372,172,313,194,199,159,284.0012888511654,297.9989332278172
21,21,403,305,194,251,372,172,234,254,199,159,402.99706040649045,304.9985488342282
22,22,303,247,130,164,447,206,293,174,199,159,310.00043456480626,242.67088009159863
23,23,407,246,130,198,447,207,161,233,239,191,412.4982484813166,243.50044217585082
24,24,393,299,165,194,373,172,214,194,199,159,377.8298481954047,258.1669128749308
25,25,383,348,194,251,372,172,254,273,199,160,382.9985861379908,347.9975741695741
26,26,362,232,136,165,373,172,214,154,199,159,356.3985522748897,234.40131450125017
27,27,365,368,222,222,373,172,214,154,199,159,364.9985506627427,367.99684501237044
28,28,361,308,165,222,373,172,234,214,199,159,361.3334393219206,305.3321062525566
29,29,315,274,130,198,447,207,257,185,239,191,330.55560806596554,265.77756687289246
30,30,369,262,165,194,373,172,234,214,199,159,364.99530096592866,267.4994909543852
31,31,380,240,95,164,447,206,194,174,199,159,380.4987310045534,243.4993072823986
32,32,330,242,130,198,447,207,257,185,239,191,330.55560806596554,265.77756687289246
33,33,345,248,130,198,447,207,257,185,239,191,330.55560806596554,265.77756687289246
34,34,348,233,136,165,373,172,214,154,199,159,356.3985522748897,234.40131450125017
35,35,348,257,130,198,447,207,257,209,239,191,338.33317925508527,267.3330811107164
36,36,328,307,194,222,372,172,273,234,200,159,329.0000938281416,303.4987871401232
37,37,399,245,165,194,373,172,214,194,199,159,377.8298481954047,258.1669128749308
38,38,331,304,164,198,447,207,257,209,239,191,331.0000460957038,303.9981005758478
39,39,324,269,165,194,373,172,273,194,200,159,313.5459588679425,283.4538958142888
40,40,341,170,136,108,373,172,217,120,138,111,341.000163951132,170.00228809706823
41,41,436,269,130,198,447,207,174,234,199,159,429.33042231161613,258.6665148531764
42,42,307,218,165,136,373,172,254,134,199,159,313.3338432900574,208.0013237537171
43,43,372,220,165,165,373,172,214,174,199,159,382.994489824228,218.50429978445396
44,44,455,244,130,164,447,206,174,214,199,159,450.9967490350041,243.66627939776694
45,45,349,253,136,165,373,172,209,161,239,191,332.6684513898329,299.33190394024257
46,46,300,391,136,165,373,172,209,161,239,191,332.6684513898329,299.33190394024257
47,47,315,231,95,130,447,206,233,137,239,191,315.00548290074,231.00010465703124
48,48,379,206,130,164,447,206,185,185,239,191,373.99889856519167,204.50034971799215
49,49,467,242,130,164,447,206,174,214,199,159,450.9967490350041,243.66627939776694
50,50,346,270,165,194,373,172,214,194,199,159,377.8298481954047,258.1669128749308
51,51,353,278,165,194,373,172,209,161,239,191,356.7490873435394,273.2492942114272
52,52,340,272,165,165,373,172,273,174,200,159,324.2502199947863,278.7495882504407
53,53,274,168,130,130,447,206,294,112,166,132,274.00155470508037,168.00247618928563
54,54,347,272,130,198,447,207,233,185,239,191,347.50083609712146,261.9998894381771
55,55,349,247,165,194,373,172,234,194,199,159,359.0016239084974,258.4445764587317
56,56,250,259,130,130,447,206,333,154,199,159,229.33607444756404,255.99869019015853
57,57,194,248,130,130,447,206,333,154,199,159,229.33607444756404,255.99869019015853
58,58,334,233,136,165,373,172,234,154,199,159,334.01148867407073,232.99820626142122
59,59,247,204,165,136,373,172,313,114,199,159,247.00244331635517,204.0011016083485
60,60,338,258,165,194,373,172,254,194,199,159,339.55554175837125,265.11065226593865
61,61,346,336,194,222,372,172,254,234,199,159,349.8329040519271,311.66523688869904
62,62,398,263,130,198,447,207,194,234,199,159,390.99844702141047,239.00068711413036
63,63,342,222,165,165,373,172,273,154,200,159,318.00038600352934,240.37537997829412
64,64,360,268,165,194,373,172,209,161,239,191,356.7490873435394,273.2492942114272
65,65,432,214,165,165,373,172,194,174,199,159,406.9980220390283,242.00309948958494
66,66,250,337,194,222,372,172,333,214,199,159,250.50217889795425,338.4978574911623
67,67,304,220,165,165,373,172,281,137,239,191,309.0006250561193,228.00229807845707
68,68,261,254,130,164,447,206,333,174,199,159,356.9993501089727,281.9991645274566
69,69,453,310,130,164,447,206,333,174,199,159,356.9993501089727,281.9991645274566
70,70,273,302,165,194,373,172,293,194,199,159,302.0012193778802,313.998508245435
71,71,399,254,95,164,447,206,174,174,199,159,398.9982345302194,252.99949797980065
